lm_prompt,task_inputs,references,lm_output_original,exact_match_original,lm_output_finetuned,exact_match_finetuned
"正しい答えは何でしょう？

0.「蛍光ペン」
1.「筆」
2.「のこぎり」
3.「お宝」
4.「鏡」
問題：教科書で大事なところをマークする道具は?
回答：「蛍光ペン」

0.「現金」
1.「丁子桜」
2.「さくらレポート」
3.「電子決済」
4.「桜チーズ」
問題：全国9地域の経済情勢を取りまとめた地域経済報告は？
回答：「さくらレポート」

0.「取っ手」
1.「箸」
2.「コップ」
3.「皿」
4.「湯船」
問題：飲み物を入れるもので、ガラス製のものは何？
回答：「","{'q_id': 8959, 'question': '飲み物を入れるもので、ガラス製のものは何？', 'choice0': '取っ手', 'choice1': '箸', 'choice2': 'コップ', 'choice3': '皿', 'choice4': '湯船', 'label': 2}",['コップ'],皿,False,皿,False
"正しい答えは何でしょう？

0.「マラカイボ」
1.「クマナ」
2.「家」
3.「カラカス」
4.「マンション」
問題：ベネズエラのスクレ州の都市は？
回答：「クマナ」

0.「リスク」
1.「身上」
2.「免許証」
3.「パブリック」
4.「プライバシー」
問題：私事を他人に知られたくないことを英語で何と言うか？
回答：「プライバシー」

0.「ライオン」
1.「シャワー」
2.「象」
3.「鏡」
4.「猫」
問題：家で飼育できる動物は？
回答：「","{'q_id': 8960, 'question': '家で飼育できる動物は？', 'choice0': 'ライオン', 'choice1': 'シャワー', 'choice2': '象', 'choice3': '鏡', 'choice4': '猫', 'label': 4}",['猫'],シャワー,False,猫、犬、犬、犬、犬、犬、犬、犬、犬、犬、��,False
"正しい答えは何でしょう？

0.「電話ボックス」
1.「横断歩道」
2.「タクシー」
3.「信号」
4.「電柱」
問題：言葉を交わして通信するためのものが入った箱型の建物の事を何という？
回答：「電話ボックス」

0.「フロリダ」
1.「九州」
2.「外国」
3.「ロシア」
4.「琵琶湖」
問題：日本でない国の総称は？
回答：「外国」

0.「払い出す」
1.「明かりを灯す」
2.「鑑賞する」
3.「買い求める」
4.「償還」
問題：お金を？
回答：「","{'q_id': 8961, 'question': 'お金を？', 'choice0': '払い出す', 'choice1': '明かりを灯す', 'choice2': '鑑賞する', 'choice3': '買い求める', 'choice4': '償還', 'label': 0}",['払い出す'],明かりを灯す,False,償還,False
"正しい答えは何でしょう？

0.「想起」
1.「言う」
2.「話す」
3.「歌」
4.「心」
問題：昔あった出来事を思い出すことを何という？
回答：「想起」

0.「地球」
1.「鉱山」
2.「火星」
3.「鉱石」
4.「水星」
問題：人類を含む多種多様な生命体が生存する天体をなんと言う？
回答：「地球」

0.「地中」
1.「家」
2.「地下」
3.「屋根」
4.「空中」
問題：サーカスの人気種目で、ブランコの前に付く言葉は？
回答：「","{'q_id': 8962, 'question': 'サーカスの人気種目で、ブランコの前に付く言葉は？', 'choice0': '地中', 'choice1': '家', 'choice2': '地下', 'choice3': '屋根', 'choice4': '空中', 'label': 4}",['空中'],地中,False,地中,False
"正しい答えは何でしょう？

0.「ショッピングセンター」
1.「タンス」
2.「ソファ」
3.「戸棚」
4.「冷凍室」
問題：本や食器などを入れる家具は？
回答：「戸棚」

0.「雷」
1.「雲」
2.「雨」
3.「勉強」
4.「火葬場」
問題：大気から水の滴が落下する現象は？
回答：「雨」

0.「仮名草子」
1.「変体仮名」
2.「仮名垣魯文」
3.「振り仮名」
4.「異体仮名」
問題：漢字の読みを示すために、脇に振ってある仮名とは？
回答：「","{'q_id': 8963, 'question': '漢字の読みを示すために、脇に振ってある仮名とは？', 'choice0': '仮名草子', 'choice1': '変体仮名', 'choice2': '仮名垣魯文', 'choice3': '振り仮名', 'choice4': '異体仮名', 'label': 3}",['振り仮名'],仮名垣魯文,False,仮名垣,False
"正しい答えは何でしょう？

0.「ネコ」
1.「シャーペン」
2.「筆」
3.「羽」
4.「イヌ」
問題：習字で使用して、墨で書くものはなに？
回答：「筆」

0.「森」
1.「画」
2.「しっぽ」
3.「時」
4.「点数」
問題：漢字を書くときに数えるのは？
回答：「画」

0.「体」
1.「ネコ」
2.「ヤカン」
3.「手足」
4.「鍋」
問題：自分の幹となっているのは？
回答：「","{'q_id': 8964, 'question': '自分の幹となっているのは？', 'choice0': '体', 'choice1': 'ネコ', 'choice2': 'ヤカン', 'choice3': '手足', 'choice4': '鍋', 'label': 0}",['体'],手足,False,手足,False
"正しい答えは何でしょう？

0.「バス停」
1.「ゴミ箱」
2.「ゾウ」
3.「人」
4.「キリン」
問題：二足歩行の動物といえば？
回答：「人」

0.「携帯」
1.「のね」
2.「メビウスの帯」
3.「ヨハネの黙示録」
4.「本」
問題：聖書に関係する言葉はどれでしょう？
回答：「ヨハネの黙示録」

0.「関西地方」
1.「砂丘」
2.「後楽園」
3.「ポートタワー」
4.「県」
問題：この中で鳥取にあって岡山や兵庫にないものは？
回答：「","{'q_id': 8965, 'question': 'この中で鳥取にあって岡山や兵庫にないものは？', 'choice0': '関西地方', 'choice1': '砂丘', 'choice2': '後楽園', 'choice3': 'ポートタワー', 'choice4': '県', 'label': 1}",['砂丘'],砂丘,True,ポートタワー,False
"正しい答えは何でしょう？

0.「棚」
1.「地下室」
2.「競技場」
3.「冷蔵庫」
4.「国会」
問題：食品を冷やすのは？
回答：「冷蔵庫」

0.「都会」
1.「中心地」
2.「町」
3.「建築物」
4.「山」
問題：ニューヨークはアメリカ経済の何と言われているでしょうか？
回答：「中心地」

0.「リフト」
1.「近畿大学」
2.「東京大学」
3.「北海道大学」
4.「ポプラ並木」
問題：北海道札幌市北区北8条西5丁目に本部を置く日本の国立大学を何というか？
回答：「","{'q_id': 8966, 'question': '北海道札幌市北区北8条西5丁目に本部を置く日本の国立大学を何というか？', 'choice0': 'リフト', 'choice1': '近畿大学', 'choice2': '東京大学', 'choice3': '北海道大学', 'choice4': 'ポプラ並木', 'label': 3}",['北海道大学'],東京大学,False,北海道大学,True
"正しい答えは何でしょう？

0.「ピザ」
1.「恋人」
2.「お菓子」
3.「愛人」
4.「献立」
問題：この中で配達してもらえるのは？
回答：「ピザ」

0.「海」
1.「ストリート」
2.「ヨーロッパ」
3.「中心市街地」
4.「都会」
問題：人々があこがれる場所は？
回答：「都会」

0.「北海道大学」
1.「ポプラ並木」
2.「ベンチ」
3.「パイプ椅子」
4.「リフト」
問題：スキー場などにある、輸送機器の一つで、高所低所に張られたケーブルにアームが付き、そこにむき出しの椅子を据えたものをなんというか？
回答：「","{'q_id': 8967, 'question': 'スキー場などにある、輸送機器の一つで、高所低所に張られたケーブルにアームが付き、そこにむき出しの椅子を据えたものをなんというか？', 'choice0': '北海道大学', 'choice1': 'ポプラ並木', 'choice2': 'ベンチ', 'choice3': 'パイプ椅子', 'choice4': 'リフト', 'label': 4}",['リフト'],リフト,True,リフト,True
"正しい答えは何でしょう？

0.「薬を飲む」
1.「運動する」
2.「旅行する」
3.「電話する」
4.「草むしり」
問題：家から離れてあちこちを見て回ることは？
回答：「旅行する」

0.「集落」
1.「丘」
2.「野原」
3.「牧場」
4.「空き地」
問題：自然豊かで動物がいるのは？
回答：「牧場」

0.「学習」
1.「把握」
2.「理解」
3.「問題」
4.「啓蒙」
問題：同じ部首が使われている熟語はどれですか？
回答：「","{'q_id': 8968, 'question': '同じ部首が使われている熟語はどれですか？', 'choice0': '学習', 'choice1': '把握', 'choice2': '理解', 'choice3': '問題', 'choice4': '啓蒙', 'label': 1}",['把握'],学習,False,学習,False
"正しい答えは何でしょう？

0.「オフィス」
1.「カレンダー」
2.「ルーム」
3.「文房具」
4.「理科室」
問題：職場の英語は？
回答：「オフィス」

0.「上司」
1.「独裁者」
2.「科学者」
3.「教職者」
4.「政治家」
問題：組織を個人で支配する者を何というか？
回答：「独裁者」

0.「大使館」
1.「国会議事堂」
2.「皇居」
3.「国」
4.「ホワイトハウス」
問題：大統領のいるところは？
回答：「","{'q_id': 8969, 'question': '大統領のいるところは？', 'choice0': '大使館', 'choice1': '国会議事堂', 'choice2': '皇居', 'choice3': '国', 'choice4': 'ホワイトハウス', 'label': 4}",['ホワイトハウス'],ホワイトハウス,True,ホワイトハウス,True
"正しい答えは何でしょう？

0.「本」
1.「カチューシャ」
2.「浴衣」
3.「水飴」
4.「提灯」
問題：祭りの屋台で売っている食べ物は？
回答：「水飴」

0.「モンスター」
1.「クライアント」
2.「モニター」
3.「扉」
4.「シアター」
問題：広告主を英語で何という?
回答：「クライアント」

0.「誤解」
1.「更年期」
2.「死」
3.「夢」
4.「嘘」
問題：間違って理解されてしまう、と言えばどれ？
回答：「","{'q_id': 8970, 'question': '間違って理解されてしまう、と言えばどれ？', 'choice0': '誤解', 'choice1': '更年期', 'choice2': '死', 'choice3': '夢', 'choice4': '嘘', 'label': 0}",['誤解'],誤解,True,誤解,True
"正しい答えは何でしょう？

0.「室町時代」
1.「江戸時代」
2.「旧石器時代」
3.「古典時代」
4.「天平時代」
問題：石を使った時代を何時代と言う？
回答：「旧石器時代」

0.「クッキー」
1.「興奮する」
2.「早い」
3.「ドーナツ」
4.「怖い」
問題：テレビを見るとするのは？
回答：「興奮する」

0.「豆腐」
1.「段ボール」
2.「スーツ」
3.「整備士」
4.「大豆」
問題：乗り物の安全のための職業は？
回答：「","{'q_id': 8971, 'question': '乗り物の安全のための職業は？', 'choice0': '豆腐', 'choice1': '段ボール', 'choice2': 'スーツ', 'choice3': '整備士', 'choice4': '大豆', 'label': 3}",['整備士'],整備士,True,整備士,True
"正しい答えは何でしょう？

0.「日本」
1.「アメリカ」
2.「宇宙」
3.「カナダ」
4.「ドイツ」
問題：海に囲まれた国は？
回答：「日本」

0.「水」
1.「ジュース」
2.「刻印」
3.「アルコール」
4.「錠前」
問題：錠と鍵からなる開閉機構の総称を何というか？
回答：「錠前」

0.「リフォーム」
1.「研究」
2.「伝える」
3.「調べる」
4.「機械」
問題：人から人へ情報を流すことを何という？
回答：「","{'q_id': 8972, 'question': '人から人へ情報を流すことを何という？', 'choice0': 'リフォーム', 'choice1': '研究', 'choice2': '伝える', 'choice3': '調べる', 'choice4': '機械', 'label': 2}",['伝える'],伝える,True,伝える,True
"正しい答えは何でしょう？

0.「低利資金」
1.「在庫資金」
2.「投資資金」
3.「利益」
4.「ヒット」
問題：商品の備蓄や売上不振等で発生するものは？
回答：「在庫資金」

0.「寝る」
1.「目をつぶる」
2.「目を開く」
3.「リラックスする」
4.「あくびする」
問題：眩しい時にしてしまうことは？
回答：「目をつぶる」

0.「トランペット」
1.「ガラス」
2.「メビウス」
3.「メタル」
4.「設計」
問題：次のうち、金管楽器であるのはどれ？
回答：「","{'q_id': 8973, 'question': '次のうち、金管楽器であるのはどれ？', 'choice0': 'トランペット', 'choice1': 'ガラス', 'choice2': 'メビウス', 'choice3': 'メタル', 'choice4': '設計', 'label': 0}",['トランペット'],ガラス,False,メビウス,False
"正しい答えは何でしょう？

0.「ピアノ」
1.「照明」
2.「ギター」
3.「扇風機」
4.「音楽家」
問題：教科書に載っているのは？
回答：「音楽家」

0.「キー」
1.「サメ」
2.「ディスプレイ」
3.「チップ」
4.「焼肉」
問題：チから始まるのは？
回答：「チップ」

0.「人」
1.「数」
2.「犬」
3.「流木」
4.「観光客」
問題：主に川で見かけるものは？
回答：「","{'q_id': 8974, 'question': '主に川で見かけるものは？', 'choice0': '人', 'choice1': '数', 'choice2': '犬', 'choice3': '流木', 'choice4': '観光客', 'label': 3}",['流木'],犬,False,川で見かけるもの,False
"正しい答えは何でしょう？

0.「大喜利」
1.「席」
2.「舞台」
3.「演劇場」
4.「区役所」
問題：観劇する為の施設を何と言う？
回答：「演劇場」

0.「入り口」
1.「朝」
2.「夜」
3.「サロン」
4.「騎士」
問題：knightを日本語で言うと？
回答：「騎士」

0.「イチゴ」
1.「ホットコーヒー」
2.「紙吹雪」
3.「グラス」
4.「マンゴー」
問題：ワインを入れるのは？
回答：「","{'q_id': 8975, 'question': 'ワインを入れるのは？', 'choice0': 'イチゴ', 'choice1': 'ホットコーヒー', 'choice2': '紙吹雪', 'choice3': 'グラス', 'choice4': 'マンゴー', 'label': 3}",['グラス'],グラス,True,グラス,True
"正しい答えは何でしょう？

0.「スカイライト」
1.「はしご」
2.「階段」
3.「棒」
4.「天窓」
問題：高いところに登るために使う道具はどれですか？
回答：「はしご」

0.「強盗」
1.「撃つ」
2.「失恋」
3.「離婚」
4.「威嚇」
問題：金銭的に被害があるのは？
回答：「強盗」

0.「フロンティア精神」
1.「ワシントン」
2.「ダイヤモンド」
3.「マンゴー」
4.「合衆国」
問題：アメリカの首都は？
回答：「","{'q_id': 8976, 'question': 'アメリカの首都は？', 'choice0': 'フロンティア精神', 'choice1': 'ワシントン', 'choice2': 'ダイヤモンド', 'choice3': 'マンゴー', 'choice4': '合衆国', 'label': 1}",['ワシントン'],ワシントン,True,ワシントン,True
"正しい答えは何でしょう？

0.「毎週」
1.「受難週」
2.「今週」
3.「週刊誌」
4.「大事件」
問題：大変な事があった週を何という?
回答：「受難週」

0.「徳島」
1.「東海」
2.「愛知県」
3.「岐阜県」
4.「三重県」
問題：トヨタ自動車の本社がある自治体は何県？
回答：「愛知県」

0.「ひかり」
1.「晩食」
2.「水」
3.「缶」
4.「アニマル」
問題：次のうち、カービィのコピー能力にあるものはどれ？
回答：「","{'q_id': 8977, 'question': '次のうち、カービィのコピー能力にあるものはどれ？', 'choice0': 'ひかり', 'choice1': '晩食', 'choice2': '水', 'choice3': '缶', 'choice4': 'アニマル', 'label': 4}",['アニマル'],水,False,水、缶、アニマル,False
