lm_prompt,references,lm_output_original,char_f1_original,exact_match_original,lm_output_finetuned,char_f1_finetuned,exact_match_finetuned
作家の森鴎外、斎藤茂吉、安部公房は、現在の東京大学の何学部出身?答えは「,['医学部'],東京大学医学部,0.6000000000000001,False,1990年,0.0,False
パソコンの情報量を表す単位、1キロバイトとは何バイトのこと?答えは「,"['1024', '1024バイト']",1024バイト,1.0,True,1024,1.0,True
山上宗二が著した「山上宗二記」にその生涯が記されている、「侘び茶」の創始者として知られる室町時代の茶人は誰?答えは「,['村田珠光'],室町芳人,0.0,False,山上宗二,0.0,False
テニスのダブルスでは、プレーしている選手はコートに全部で何人いる?答えは「,"['4人', '4']",２人,0.5,False,2人,0.5,False
日本のテレビ業界で「プライムタイム」といえば、毎日19時から何時までの時間帯のこと?答えは「,"['23時', '23']",19時から24時,0.36,False,19時から22時まで,0.31,False
アイドルグループ・ももいろクローバーZのメンバーで、最年長は高城れにですが、最年少は誰?答えは「,['佐々木彩夏'],私,0.0,False,私はそれを知っています,0.0,False
リス・ネズミ・ヤマアラシなど、絶えず伸びつづける門歯を持つ哺乳類を何類という?答えは「,['げっ歯類'],ミツバチ,0.0,False,異常,0.0,False
英語で「タングツイスター」という言葉遊びは何?答えは「,['早口言葉'],タングツイスター,0.0,False,タングツイスター,0.0,False
建設当時の元号にちなんで名づけられた、日本初の南極観測基地は何?答えは「,['昭和基地'],南極基地,0.5,False,南極基地,0.5,False
「話し始めるやいなや」という意味がある、落語の寄席で最初の一席を指す言葉といえば何?答えは「,['開口一番'],おはよう,0.0,False,話し始める,0.0,False
「眠りを殺してしまった」「きれいは汚い、汚いはきれい」などの有名なフレーズが登場する、国王ダンカンに対して謀反を起こす将軍を描いたシェイクスピアの戯曲は何?答えは「,['マクベス'],ウィルス,0.25,False,マルティン・デ・フェルディン,0.12,False
頭で考えただけの、実際の役には立たない計画のことを「机上の何」という?答えは「,"['空論', '机上の空論']",何か,0.0,False,彼らは彼らが彼らが彼らが彼らが彼らが��,0.0,False
NECが運営するスポーツチームで、女子バレーボールV・プレミアリーグのチーム名はレッドロケッツですが、ラグビートップリーグのチーム名は何?答えは「,['グリーンロケッツ'],ロックス・アイランド,0.24,False,ロックス,0.33,False
音楽の楽譜で、最初にシャープが1つつくとト長調ですが、2つつくと何長調になる?答えは「,['ニ長調'],何長調,0.67,False,2つ,0.0,False
1869年、明治新政府が全国の藩主に土地と人民を朝廷に返上させ、中央集権をはかった政策を、漢字4文字で何という?答えは「,['版籍奉還'],崩,0.0,False,民主主義,0.0,False
司馬遼太郎のペンネームの由来となった、中国・前漢時代の歴史家は誰?答えは「,['司馬遷'],孔子,0.0,False,彼は彼の名前を「馬鹿,0.15,False
大腸の運動や分泌機能の異常で起こる「過敏腸性症候群」のことをアルファベット3文字の略称で何という?答えは「,['IBS'],IBS,1.0,True,IBS,1.0,True
ニューヨーク州のニックネームからその名がついた、マンハッタン5番街に建つ102階建ての超高層ビルは何?答えは「,"['エンパイア・ステート・ビルディング', 'エンパイア・ステート・ビル', 'エンパイアステートビル']",ワシントン・パーク・ハイランド,0.29,False,セントラルパークタワー,0.27,False
漫画版が累計発行部数200万部を突破して話題になった、主人公・コペル君こと本田潤一の成長を描いた吉野源三郎の小説は何?答えは「,['君たちはどう生きるか'],漫画版,0.0,False,マリンダ,0.0,False
別名を「振袖火事」ともいう、1657年に江戸を焼き尽くした火事のことを、その元号から何という?答えは「,['明暦の大火'],1657,0.0,False,焼き尽くし,0.0,False
椋鳩十の童話『大造じいさんとガン』に登場する、ガンの群れの頭領の名前は何?答えは「,"['残雪', 'ざんせつ']",大造,0.0,False,マリア,0.0,False
1969年にアポロ11号が初めて月面着陸した場所は何の海?答えは「,"['静かの海', '静か']",アメリカの海,0.4,False,オリンピック,0.0,False
戦国武将の今川氏親、義元親子によって制定された分国法は何?答えは「,['今川仮名目録'],義元法,0.0,False,彼らは彼らの国を支配している,0.0,False
「ミスターX」という人物が極東地区のマネージャーを務める、アニメ『タイガーマスク』に登場する悪役レスラー養成所の名前は何?答えは「,['虎の穴'],マックス・アンドロイド,0.0,False,マスク,0.0,False
夏の盛りに、多くのセミが一斉に鳴く様子を、雨が降る様子にたとえて何という?答えは「,['蝉時雨'],凍る,0.0,False,彼らは彼らの音を鳴らします,0.0,False
英語では「ウォーターストライダー」。体から甘いにおいを発することから名づけられた、水面をスイスイと滑って移動する昆虫といえば何?答えは「,['アメンボ'],ウォーターストライダー,0.0,False,ウォーターストライダー,0.0,False
詩を作る才能がすぐれていることを、中国・魏の曹植がたった7歩ほど歩く間に詩を作ったという故事から何という?答えは「,['七歩の才'],詩は聞くと書く,0.0,False,詩を書く,0.0,False
「タタータ」などと表現される、音楽でリズムに変化をつけるためにアクセントの位置をずらすことを指す用語は何?答えは「,['シンコペーション'],スティック,0.0,False,リズムの変換,0.0,False
1603年、江戸幕府が開かれた時の日本の元号は何?答えは「,['慶長'],元日,0.0,False,元日,0.0,False
黄道十二星座を漢字で書いた時に「子ども」の「子」という字が使われるのは、双子座と何座?答えは「,['獅子座'],二,0.0,False,子ども,0.33,False
ト音記号の元になったアルファベットは何?答えは「,['G'],アイ,0.0,False,古代ギリシャのアルファベット,0.0,False
囲碁では十段戦を、将棋ではヒューリック杯棋聖戦を主催している日本の新聞社はどこ?答えは「,"['産経新聞社', '産業経済新聞社', '産経新聞']",日刊スポーツ,0.0,False,日本の新聞社,0.55,False
英語では「ファイアフライ・スクイード」という、体中に発光器を持ち、青白く光ることで知られるイカは何?答えは「,['ホタルイカ'],イカ,0.5700000000000001,False,イカ,0.5700000000000001,False
東北地方の郷土富士で、津軽富士といえば岩木山ですが、出羽富士といえば何山?答えは「,"['鳥海', '鳥海山']",山陰,0.4,False,北の富士,0.0,False
組織の内部にいながらその組織に害を及ぼす者のことを俗に「何の虫」という?答えは「,"['獅子身中の虫', '獅子身中']",虫,0.29,False,虫,0.29,False
"ゼラの戦いでシーザーが残したとされる名言「Veni, vidi, vici」は、日本語では何という言葉で知られる?答えは「",['来た'],"Veni, vidi, vici",0.0,False,"Veni, vidi, vici",0.0,False
もともとは、日本人移民が古い着物を現地風のシャツにリメイクして作られたものが起源とされる、ハワイ名物のカラフルなシャツは何?答えは「,['アロハシャツ'],ハワイ絔族の着物,0.14,False,ハワイシャツ,0.67,False
「ナルシスト」という言葉の語源となったギリシャ神話の美少年・ナルキッソスが死んだ後に咲いたとされる花は何?答えは「,['スイセン'],ナルシスト,0.22,False,ナルシスト,0.22,False
フットサルのポジションで、サッカーのフォワードにあたるのは「ピヴォ」、ディフェンダーにあたるのは「フィクソ」ですが、ミッドフィルダーにあたるのは何?答えは「,['アラ'],ピッコード,0.0,False,ミッドフィルダー,0.0,False
6、28、496などのように、その数以外のすべて約数の和がその数と等しくなる自然数のことを何数という?答えは「,['完全数'],1,0.0,False,12,0.0,False
「Trp」という略号で表される、チーズや牛乳などに多く含まれ、睡眠を促す効果があるとされる必須アミノ酸の一種は何?答えは「,['トリプトファン'],トリプロテン,0.62,False,タンパク質,0.17,False
歌詞の中に登場することから、青函連絡船の八甲田丸の係留地や龍飛崎に歌碑が建てられている、石川さゆりの代表曲といえば何?答えは「,['津軽海峡・冬景色'],詩,0.0,False,龍飛崎,0.0,False
企業買収の際などに行われる「株式公開買付」のことをアルファベット3文字で何という?答えは「,['TOB'],GOOG,0.29,False,株式公開買付,0.0,False
戦国武将の加藤清正が朝鮮から日本に持ち込んだことから「キヨマサニンジン」とも呼ばれる、独特の香りが特徴的な野菜は何?答えは「,['セロリ'],キヨマ,0.0,False,キヨマ,0.0,False
百人一首を使う競技かるたで、自分と相手の残り札がともに1枚ずつになった局面を何という?答えは「,['運命戦'],彼女が勝った,0.0,False,彼らは彼らの残りの札を彼らの側に持っている,0.0,False
第1回はマザー・テレサが受賞した、宗教家や思想家に贈られることから「宗教界のノーベル賞」と呼ばれる賞は何?答えは「,['テンプルトン賞'],イスラム賞,0.17,False,財政,0.0,False
「酸っぱいニシン」という意味がある、「世界一臭い食べ物」などとも呼ばれるスウェーデン名物の缶詰といえば何?答えは「,['シュールストレミング'],スウェーデンハンバーガー,0.18,False,チーズ,0.15,False
腸を整える整腸剤の原料にも用いられる、原子番号83、元素記号Biの元素は何?答えは「,['ビスマス'],鉛,0.0,False,鉄,0.0,False
鎌倉時代に成立した「五摂家」とは、近衛家、九条家、一条家、二条家と何家?答えは「,"['鷹司', '鷹司家']",一条家,0.33,False,五摂家,0.33,False
神が生け贄として選んだ者の家の屋根に印をたてたという伝説に由来する、「多くの者の中から選び出される」という意味の慣用句は何?答えは「,"['白羽の矢を立てる', '白羽の矢']",多くの者の中から選び出される,0.18,False,多くの者の中から選び出される,0.18,False
理髪店の前に置かれている、赤・白・青の3色の縞模様が回転する円柱形の看板を何という?答えは「,['サインポール'],アイスランドの国旗,0.27,False,アイスクリーム,0.31,False
カクテルのストロー・ハット、レッドアイ、ブラッディメアリーに共通して用いられるのは何ジュース?答えは「,"['トマトジュース', 'トマト']",カイロ,0.0,False,レモン,0.0,False
広辞苑でこの言葉を引くと、収入、東、お茶、双六などの説明書きがある、かなにすると3文字の言葉は何?答えは「,['あがり'],お金,0.0,False,収入,0.0,False
太陽系の惑星で、ジュリエット、オフィーリア、デズデモーナなどシェイクスピアの作品に登場する人物の名が付けられた衛星を持つ星は何?答えは「,['天王星'],1610年1月15日,0.0,False,Jupiter,0.0,False
登山で危険な岩壁を登るとき、安全のためお互いの体をザイルで結び合うことをドイツ語で何という?答えは「,['アンザイレン'],zusammengefügt werden,0.0,False,Ziellin,0.0,False
1938年のニューヨーク博覧会で最初に使われた言葉で、現在の記録やメッセージなどを未来に残すために地中に埋めておく容器のことを何という?答えは「,['タイムカプセル'],時計,0.0,False,埋めておく,0.0,False
つるの切り口から出る液体が化粧水としても利用される、漢字で「糸瓜」と書く植物は何?答えは「,['へちま'],糸瓜,0.0,False,糸瓜,0.0,False
オーストラリアの公用語は英語ですが、オーストリアの公用語は何語?答えは「,['ドイツ語'],ドイツ語,1.0,True,オーストリア語,0.18,False
サッカー用語の「ハットトリック」は、もともとはどんなスポーツで使われた言葉?答えは「,['クリケット'],サッカー,0.22,False,サッカー,0.22,False
ササン朝ペルシアで国教とされた、アフラ・マズダを最高神とする宗教は何?答えは「,['ゾロアスター教'],イスラム教,0.33,False,イスラム,0.18,False
野球は3アウトでチェンジですが、野球の原型となったクリケットは何アウトでチェンジとなる?答えは「,"['10アウト', '10']",0アウト,0.89,False,1アウト,0.89,False
ホッケーは1チーム11人ですが、アイスホッケーは1チーム何人?答えは「,"['6人', '6']",1チーム20人,0.22,False,11人,0.4,False
作家アガサ・クリスティーが産んだ「灰色の脳細胞」と呼ばれる名探偵は誰?答えは「,"['エルキュール・ポアロ', 'ポアロ', 'エルキュール・ポワロ', 'ポワロ']",名探偵コナン,0.0,False,アガサ・クリスティー,0.17,False
アメリカの二大政党で、民主党のシンボルとなっている動物はロバですが、共和党のシンボルとなっている動物は何?答えは「,['ゾウ'],ジャイアントアストロズ,0.0,False,マウス,0.4,False
「インスタント」と「テレグラム」という英語を合成して名付けられた、写真・動画の共有アプリといえば何?答えは「,"['インスタグラム', 'Instagram']",Snapchat,0.35000000000000003,False,Instagram,1.0,True
イタリア・セリエAの「ミラノダービー」で対戦するサッカーチームは、ACミランとどこ?答えは「,['インテル'],マドリード,0.0,False,ミラノ,0.0,False
昭和24年の火災によって金堂の壁画が焼失したことがきっかけで、文化財保護法が成立することとなった、奈良県のお寺は何?答えは「,['法隆寺'],何?,0.0,False,弘法寺,0.67,False
小説や戯曲で、物語の序盤に登場した人物や小道具を、終盤で重要な意味を持つ伏線として描く手法を、ロシアの作家にちなんで「誰の銃」という?答えは「,"['チェーホフの銃', 'チェーホフ']",誰の手,0.2,False,ロシアの銃,0.33,False
正式名称を「ザンクト・ペーター・ウント・マリア大聖堂」という、ゴシック様式の建築物として世界最大を誇る、ドイツにある世界遺産の大聖堂は何?答えは「,['ケルン大聖堂'],ドイツの世界遺産,0.0,False,ドイツの大聖堂,0.46,False
「万物の根源は数である」と説いた、「三平方の定理」の別名にも名を残す古代ギリシャの数学者は誰?答えは「,"['ピタゴラス', 'ピュタゴラス']",アラブの数学者,0.17,False,アルカナス,0.2,False
『ヨハネ受難曲』や『ブランデンブルク協奏曲』を作曲したドイツの音楽家は誰?答えは「,"['バッハ', 'ヨハン・ゼバスティアン・バッハ']",ヴィクトル・モンステル,0.26,False,ジョン・マッカーチェン,0.17,False
翼が生えた靴を履くとされるローマ神話の神様にちなんで名付けられた、アメリカ初の有人宇宙飛行計画は何?答えは「,['マーキュリー計画'],Apollo,0.0,False,Apollo,0.0,False
1952年にノーベル生理学・医学賞を受賞した、ストレプトマイシンの発見で知られる細菌学者は誰?答えは「,"['ワクスマン', 'ワックスマン', 'セルマン・ワクスマン', 'セルマン・ワックスマン']",マイクロバクテリア,0.22,False,マイク・マイヤーズ,0.35000000000000003,False
花の形が墨を入れる壺に似ていることから名がついた、春に紫色の花を咲かせる植物は何?答えは「,['すみれ'],紫陽花,0.0,False,ハーブ,0.0,False
理髪店でみられる赤、白、青の縞模様が回転する看板のことを何という?答えは「,"['有平棒', 'サインポール']",マッサージ,0.36,False,髪の毛の色,0.0,False
姥山貝塚、西之城貝塚、加曽利貝塚などをはじめ、全国にある貝塚の4分の1が位置する都道府県はどこ?答えは「,"['千葉県', '千葉']",北海道,0.0,False,カリフォルニア州,0.0,False
美人を形容する言葉、「立てば芍薬、座れば牡丹、歩く姿は・・・」、さて、「何の花」?答えは「,['百合の花'],牡丹,0.0,False,芍薬,0.0,False
アメリカの州の愛称で「ゴールデンステート」と呼ばれるのはカリフォルニア州ですが、「シルバーステート」と呼ばれるのは何州?答えは「,['ネバダ州'],オレゴン,0.0,False,オーストラリア州,0.17,False
コレクター心をくすぐる「フルコンプ」や「コンプガチャ」の、「コンプ」とは何という英単語の略?答えは「,"['コンプリート', 'Complete']",COMPLETE,1.0,True,コンプ,0.67,False
弥生式土器の名前の由来となった弥生町がある、東京都の区は何区?答えは「,"['文京', '文京区']",東京都の区は1区,0.36,False,東京都の区,0.5,False
玉ねぎを炒める時の炒め具合の目安となる明るい褐色のことを、あるお菓子にたとえて何色という?答えは「,['飴色'],茶色,0.5,False,黄色,0.5,False
1980年代、おまけとしてつけられた「悪魔vs天使シール」が子どもたちの間でブームとなった、ロッテのお菓子は何?答えは「,"['ビックリマン', 'ビックリマンチョコ']",ラッシュ,0.2,False,悪魔,0.0,False
「0対0」という意味がある、卓球やバドミントンの試合開始で主審が行う合図は何?答えは「,['ラブオール'],0対0,0.0,False,0対0,0.0,False
銅を用いた合金で、青銅で加えるのはスズですが、赤銅で加える金属は何?答えは「,['金'],銅,0.0,False,銅,0.0,False
フランス人農園主とアメリカ人従軍看護婦との恋を描いた、『魅惑の宵』『バリハイ』などの劇中曲が有名なミュージカル映画は何?答えは「,['南太平洋'],シャーロックホームズ,0.0,False,ファンタスティックファンタスティックファンタスティックファンタス,0.0,False
故事成語「守株」で、切り株にぶつかって死んでしまった動物は何?答えは「,['ウサギ'],犬,0.0,False,犬,0.0,False
人間の体で、咽頭と噴門の間にある、口から入った食べ物を、ぜん動運動によって胃に送る消化器官は何?答えは「,['食道'],腸,0.0,False,胃,0.0,False
競技かるたで、「秋の田の」と「秋風に」のように、決まり字が途中まで一緒である札を何という?答えは「,['友札'],秋の田の秋風に,0.0,False,秋の田の,0.0,False
ボクシングで、アゴの先端は「チン」といいますが、アゴの側面は何という?答えは「,['ジョー'],シン,0.0,False,ストライキ,0.0,False
1825年12月にロシアで起きた反乱を、「十二月党」という意味の言葉から「何の乱」という?答えは「,"['デカブリスト', 'デカブリストの乱']",崩壊,0.0,False,十二月の党,0.15,False
第二次世界大戦を終結させるために連合国と日本の間で締結された平和条約を、署名されたアメリカの都市から何という?答えは「,['サンフランシスコ講和条約'],シアトル,0.12,False,パリ条約,0.25,False
ブエノスアイレスを中心に広がっている、アルゼンチンの草原地帯を何という?答えは「,['パンパ'],アルゼンチンの草原地帯,0.14,False,アルゼンチンの草原,0.17,False
飛行機の客室乗務員のことをアルファベット2文字で「CA」などといいますが、これを略さずいうと「何・アテンダント」?答えは「,"['キャビン・アテンダント', 'キャビン']",何・アテンダント,0.71,False,何か,0.0,False
多くの文豪が通った「ル・ドーム」や「ル・セレクト」などの老舗カフェがある、パリ・セーヌ川左岸の地区は何?答えは「,['モンパルナス'],ル・ドーム,0.2,False,ル・ドーム,0.2,False
InstagramなどのSNSで重視される、写真うつりのよいことを英語で何という?答えは「,['フォトジェニック'],selfie,0.0,False,写真の写真,0.0,False
ホルストの組曲『惑星』で、第1曲は「火星」ですが、第2曲は何?答えは「,"['金星', 'ビーナス', 'ヴィーナス']",火星,0.5,False,地球,0.0,False
うどんの上に生卵を乗せる「月見うどん」で、黄身は月に見立てていますが、白身は何に見立てている?答えは「,['雲'],月見うどん,0.0,False,月見うどん,0.0,False
『イパネマの娘』などの曲に代表される、1950年代後半に、サンバにジャズの感覚を取り入れて、ブラジルで生れた音楽は何?答えは「,"['ボサノバ', 'ボサノヴァ']",サンバ,0.5700000000000001,False,サンバ,0.5700000000000001,False
紫式部の『源氏物語』全54帖の巻名で、最初の第1帖は『桐壺』ですが、次の第2帖は何?答えは「,['帚木'],桐壺,0.0,False,紙,0.0,False
文化財保護法第71条第2項にもとづいて文部科学大臣が指定する「重要無形文化財保持者」のことを何という?答えは「,['人間国宝'],文化財保護法第71条第2項にもとづいて文部科学大��,0.0,False,文化財保持者,0.0,False
ヒンドゥー教の女神・ラクシュミーにあたる、美や幸運をもたらすとされる仏教の神様は誰?答えは「,['吉祥天'],絶対に誰でもあなたの心の中にいる,0.0,False,ラクシュミー,0.0,False
大坂城の「玉造門」や「京橋門」、江戸城の「平河門」など、お城の裏口にある門のことを、「大手門」に対して何という?答えは「,"['搦手門', '搦手']",大門,0.4,False,小手門,0.67,False
江戸時代の僧侶・禅海が、30年余りの歳月をかけて完成させたと伝えられる、大分県の耶馬溪にあるトンネルは何?答えは「,['青の洞門'],禅海の墓,0.25,False,僧侶のトンネル,0.18,False
衆議院で内閣不信任決議案が可決された場合、内閣は何日以内に総辞職か衆議院解散を行わなくてはならないと定められている?答えは「,"['10', '10日']",1日,0.8,False,いいえ,0.0,False
「市松模様」という名前の由来となった江戸時代の歌舞伎俳優は誰?答えは「,['佐野川市松'],市松の花,0.44,False,市松,0.5700000000000001,False
紀元前4世紀にチャンドラグプタが建国し、3代目のアショーカ王の時代に最盛期を迎えた、古代インド最初の統一王朝は何?答えは「,['マウリヤ朝'],インドの大陸,0.0,False,インドの最初の統一王朝,0.12,False
紀元前3000年ごろ、シュメール人の都市国家が成立したことに始まる、チグリス・ユーフラテス川流域で栄えた、世界最古の文明のひとつは何?答えは「,['メソポタミア文明'],アラブ,0.18,False,シュメール人,0.14,False
唱歌『夏は来ぬ』の歌詞に登場する2種類の鳥とは、ホトトギスと何?答えは「,['クイナ'],ホトトギス,0.0,False,ホトトギス,0.0,False
湖底からナウマンゾウやオオツノジカなどの化石が多数発掘されたことで有名な、長野県黒姫山のふもとにある湖は何?答えは「,['野尻湖'],恐竜の泳ぐ湖,0.22,False,黒姫山湖,0.29,False
上場企業の発行済み株式数に株価をかけて算出される、いわゆる「企業価値」を表す指標を何という?答えは「,['時価総額'],市場価値,0.25,False,市場価値,0.25,False
選挙において、候補者が選挙区をこまめに回り、有権者1人1人に訴えかける選挙手法を、家の前に渡された板にたとえて何選挙という?答えは「,['ドブ板選挙'],どれか,0.0,False,誰かが訴えている,0.0,False
漫画のテーマになっているスポーツで、『ハイキュー!!』といえばバレーボールですが、『カイチュー!』といえば何?答えは「,['弓道'],サッカー,0.0,False,バレーボール,0.0,False
アメリカの社会学者デビッド・フィリップスが命名した、マスメディアで取り上げられた自殺報道に影響されることで自殺者が増える現象を何効果という?答えは「,"['ウェルテル効果', 'ウェルテル']",ほとんどない,0.0,False,ほとんどの人は、マスメディアで取り上げられた自殺報道に影��,0.0,False
インターネットのホームページのアドレスでよく見る「http」は、何という英語の略?答えは「,"['ハイパーテキスト・トランスファー・プロトコル', 'HyperText Transfer Protocol']",HyperText Transfer Protocol,1.0,True,HyperText Transfer Protocol,1.0,True
選挙の結果を予測するため、投票を終えた人に誰に投票したかなどを尋ねて得票数を推測することを何調査という?答えは「,"['出口', '出口調査']",調査,0.67,False,誰かが投票したかどうか,0.0,False
日本の旧国名で「肥後の国」といえば現在の熊本県にあたりますが、「肥後の国」の語呂合わせで標高を覚える、標高1592mの熊本県の山はどこ?答えは「,"['阿蘇山', '阿蘇']",肥後の山,0.29,False,マント,0.0,False
交差した2本の剣のトレードマークでおなじみのドイツの陶磁器ブランドで、「ブルーオニオン」や「インドの華」などのシリーズで知られるものは何?答えは「,['マイセン'],ブルックス,0.0,False,ブルーオニオン,0.18,False
小説『桜の木の下には』の作者は梶井基次郎ですが、『桜の森の満開の下』の作者は誰?答えは「,['坂口安吾'],梶井基次郎,0.0,False,梶井基次郎,0.0,False
日本最大の切手のひとつの図柄にもなった、菱川師宣の代表作の浮世絵は何?答えは「,"['見返り美人図', '見返り美人']",囲碁,0.0,False,慈善,0.0,False
美術監督のセドリック・ギボンズによってデザインされた、アカデミー賞の受賞者に贈られる黄金像の通称は何?答えは「,"['オスカー像', 'オスカー']",The Golden Image,0.0,False,オーストラリアのオブジェクト,0.22,False
第1回は小説『博士の愛した数式』が受賞した、全国の書店員の投票によって選ばれる文学賞は何?答えは「,['本屋大賞'],『博士の愛した数式』の著者、杉本晃一さん,0.09,False,フェルスティオ,0.0,False
童話『オズの魔法使い』で、ライオンが欲しがったものは勇気ですが、ブリキの木こりが欲しがったものは何?答えは「,['心'],柳,0.0,False,彼らは欲しがった、彼らは欲しがった、彼らは�,0.0,False
第1回夏季オリンピックが開催されたのはアテネですが、第1回冬季オリンピックが開催されたのはどこ?答えは「,"['シャモニー・モンブラン', 'シャモニー']",スイス,0.0,False,スカイダウンタウン,0.21,False
ドイツの国旗に使われている3色の色といえば、黒、赤と何色?答えは「,"['金色', '金']",白,0.0,False,赤と黒,0.0,False
1580年にイエズス会の宣教師によって初めて設立された、日本人聖職者を養成するための神学校を何という?答えは「,['セミナリオ'],日本聖職者学校,0.0,False,カトリック大学,0.17,False
動きが素早いことや時間が短いことを、稲妻の光や火打ち石の火にたとえた四字熟語で何という?答えは「,['電光石火'],稲妻の光,0.25,False,熱い,0.0,False
世間のさまざまな話題のことを、漢数字の「四」を使って何話という?答えは「,['四方山話'],四,0.4,False,四つ,0.33,False
「青の洞窟」などの観光名所がある、イタリア・ナポリ沖に浮かぶ風光明媚な島はどこ?答えは「,['カプリ島'],シロアンジェルロ,0.0,False,ナポリ島,0.5,False
小説『城の崎にて』や『暗夜行路』で知られる白樺派の作家は誰?答えは「,['志賀直哉'],白樺,0.0,False,ジョン・フェイン,0.0,False
1989年から95年の間に生まれた人たちのことを、「千年紀」という意味の言葉を使って「何世代」という?答えは「,"['ミレニアル世代', 'ミレニアル']",何世代,0.4,False,何世代,0.4,False
略称はTNSC。豊かな自然に囲まれ「世界一美しいロケット発射場」とも呼ばれる、JAXAが運営する施設は何?答えは「,['種子島宇宙センター'],宇宙への旅行を可能にする施設,0.17,False,ロケット発射場,0.0,False
交通情報の提供を行う、日本道路交通情報センターのことを、ジャパン・ロード・トラフィック・インフォメーション・センターの頭文字の略称で何という?答えは「,"['JARTIC', 'ジャティック']",JRTI,0.8,False,JRTI,0.8,False
カーリングで、ストーンを投げ入れる目標となる同心円のことを何という?答えは「,['ハウス'],単純に悪い,0.0,False,ストーンのストーン,0.17,False
「セコい」「ヨイショ」「トリ」といえば、何に由来する言葉?答えは「,['落語'],日本語,0.4,False,セコイ,0.0,False
「repeated unit」を略して名付けられた、111や1111のようにすべてのケタの数字が1である数のことを何という?答えは「,"['レピュニット数', 'レピュニット', 'Repunit']",11111111111111111111111111111111,0.0,False,11111111111111111111111111111111,0.0,False
銀行などの金融機関で、長期間預け入れや払い戻しのない預貯金口座のことを何という?答えは「,"['休眠口座', '睡眠口座', '睡眠預金', '休眠預金']",単純な預金,0.44,False,長期投資,0.0,False
アメリカのビジネススクールを修了した人に授与される「経営管理学修士号」をアルファベットの略称で何という?答えは「,['MBA'],MBA,1.0,True,MBA,1.0,True
切手用語で、シートに印刷された切手が隣り同士で互いに上下逆さになったもののことをフランス語で何という?答えは「,['テート・ベッシュ'],les deux tickets sont inverses entre eux,0.0,False,側面,0.0,False
文房具で、メモ帳のロディア、手帳のクオバディスといえばどこの国のメーカー?答えは「,['フランス'],日本,0.0,False,米国,0.0,False
韓国・ソウルの観光スポットにもなっている、1395年に建設された朝鮮王朝の正宮は何?答えは「,['景福宮'],韓国の東京の観光スポットである正宮,0.1,False,朝鮮王朝の正宮,0.2,False
ダイヤモンドや方解石などに見られる、鉱物の結晶がある特定の方向に沿って割れやすいという性質を何という?答えは「,"['劈開', '劈開性', 'クリーベージ']",柔軟性,0.33,False,柔軟性,0.33,False
7月24日の芥川龍之介の命日を、生前に残した小説や、好んで描いた絵にちなんで何忌という?答えは「,"['河童忌', '河童']",絵,0.0,False,彼の偉大な芥川龍之介,0.0,False
英語で「昼食」と「魅力」を意味する言葉から名づけられた、お弁当などに添えられる、魚の形のタレ容器は何?答えは「,['ランチャーム'],お弁当,0.0,False,タレ,0.0,False
スリランカの国旗に描かれている4つの葉は、どんな植物の葉?答えは「,['菩提樹'],マグロの葉,0.0,False,ナシ,0.0,False
